,prompt,response,atoms,hallucinated atoms,hallucinated_atomic_units
323,Tell me a bio of Michael H. Schneider Sr.," 

Michael H. Schneider Sr. is an American politician who served as the venth Lieutenant Governor of Alaska from 2018 to 2021. He was appointed to the position by Governor Mike Dunleavy on December 3, 2018, following the resignation of Valerie Davidson.

Schneider was born on February 25, 1955, in Anchorage, Alaska. He earned a Bachelor's degree in Business Administration from the University of Alaska Fairbanks and later received his Master's degree in Business Administration from the same institution.

Before entering politics, Schneider had a successful career in business, working for over 30 years in various","| Michael H. Schneider Sr. is an American.	True |
| Michael H. Schneider Sr. is a politician.	False |
| Michael H. Schneider Sr. served as the tenth Lieutenant Governor of Alaska.	False |
| Michael H. Schneider Sr. served as the tenth Lieutenant Governor of Alaska from 2018 to 2021.	False |
| He was appointed to the position.	True |
| He was appointed to the position by Governor Mike Dunleavy.	False |
| He was appointed to the position on December 3, 2018.	False |
| Valerie Davidson resigned from the position.	False |
| Valerie Davidson resigned before he was appointed.	False |
| Schneider was born on February 25, 1955.	False |
| Schneider was born in Anchorage.	False |
| Anchorage is in Alaska.	True |
| Schneider was born in Alaska.	False |
| He earned a Bachelor's degree in Business Administration.	False |
| He earned a Bachelor's degree in Business Administration from the University of Alaska Fairbanks.	False |
| He received his Master's degree in Business Administration.	False |
| He received his Master's degree in Business Administration from the University of Alaska Fairbanks.	False |
| He received his Master's degree in Business Administration from the same institution where he earned his Bachelor's degree.	False |
| Schneider had a successful career in business.	False |
| Schneider worked in business before entering politics.	False |
| Schneider worked for over 30 years.	True |
| Schneider worked in various fields.	True |
","| Michael H. Schneider Sr. is a politician. |
| Michael H. Schneider Sr. served as the tenth Lieutenant Governor of Alaska. |
| Michael H. Schneider Sr. served as the tenth Lieutenant Governor of Alaska from 2018 to 2021. |
| He was appointed to the position by Governor Mike Dunleavy. |
| He was appointed to the position on December 3, 2018. |
| Valerie Davidson resigned from the position. |
| Valerie Davidson resigned before he was appointed. |
| Schneider was born on February 25, 1955. |
| Schneider was born in Anchorage. |
| Schneider was born in Alaska. |
| He earned a Bachelor's degree in Business Administration. |
| He earned a Bachelor's degree in Business Administration from the University of Alaska Fairbanks. |
| He received his Master's degree in Business Administration. |
| He received his Master's degree in Business Administration from the University of Alaska Fairbanks. |
| He received his Master's degree in Business Administration from the same institution where he earned his Bachelor's degree. |
| Schneider had a successful career in business. |
| Schneider worked in business before entering politics. |
","[('born', 'Anchorage'), ('born', 'Alaska')]"
326,Tell me a bio of Maggie Cogan," I apologize, but I couldn't find any notable or well-known individual by the name of Maggie Cogan. It's possible that you may have misspelled the name or that Maggie Cogan is a private individual who doesn't have a public presence.

If you could provide more context or information about who Maggie Cogan is or what she is known for, I'd be happy to try and help you further.

Alternatively, if you meant to ask about Maggie Gyllenhaal, here's a brief bio:

Maggie Gyllenhaal is an American actress born on November 16, 1977, in New York City","| There is no notable individual named Maggie Cogan.	False |
| There is no well-known individual named Maggie Cogan.	False |
| The search for Maggie Cogan did not yield any results for notable or well-known individuals.	False |
| It is possible.	True |
| You may have misspelled the name.	False |
| Maggie Cogan is a private individual.	False |
| Maggie Cogan doesn't have a public presence.	False |
| Maggie Cogan is mentioned in the sentence.	True |
| The speaker is asking for more context or information about Maggie Cogan.	True |
| The speaker is willing to help further if more information is provided.	True |
| The response is providing an alternate option.	False |
| The alternate option is related to Maggie Gyllenhaal.	False |
| A brief bio of Maggie Gyllenhaal will be provided.	False |
| The response is offering a different topic of discussion.	False |
| Maggie Gyllenhaal is an American actress.	False |
| Maggie Gyllenhaal was born on November 16, 1977.	False |
| Maggie Gyllenhaal was born in New York City.	False |
","| There is no notable individual named Maggie Cogan. |
| There is no well-known individual named Maggie Cogan. |
| The search for Maggie Cogan did not yield any results for notable or well-known individuals. |
| You may have misspelled the name. |
| Maggie Cogan is a private individual. |
| Maggie Cogan doesn't have a public presence. |
| The response is providing an alternate option. |
| The alternate option is related to Maggie Gyllenhaal. |
| A brief bio of Maggie Gyllenhaal will be provided. |
| The response is offering a different topic of discussion. |
| Maggie Gyllenhaal is an American actress. |
| Maggie Gyllenhaal was born on November 16, 1977. |
| Maggie Gyllenhaal was born in New York City. |
","[('born', 'New York City')]"
331,Tell me a bio of Kathinka Pasveer," 

Kathinka Pasveer is a Dutch former professional tennis player. Born on May 24, 1959, in Amsterdam, Netherlands, she had a successful career in the late 1970s and early 1980s.

Pasveer won two singles titles and four doubles titles during her time on the WTA Tour. Her highest singles ranking was No. 34 in the world, achieved in 1982. In doubles, she reached a peak ranking of No. 22 in 1983.

One of Pasveer's most notable achievements came at the 1982 French Open, where she reached the","| Kathinka Pasveer is Dutch.	True |
| Kathinka Pasveer is a former professional tennis player.	False |
| She was born on May 24, 1959.	False |
| She was born in Amsterdam, Netherlands.	False |
| She had a successful career.	True |
| Her successful career was in the late 1970s and early 1980s.	False |
| Pasveer won two singles titles on the WTA Tour.	False |
| Pasveer won four doubles titles on the WTA Tour.	False |
| Pasveer was successful in singles competitions.	False |
| Pasveer was successful in doubles competitions.	False |
| Her highest singles ranking was No.	False |
| The achievement was being ranked 34th in the world.	False |
| The achievement was made in 1982.	False |
| She is involved in doubles.	False |
| She reached a peak ranking.	False |
| The peak ranking is at No.	False |
| Pasveer is an individual.	True |
| Pasveer achieved something notable.	True |
| The notable achievement occurred at the 1982 French Open.	False |
| Pasveer reached a significant milestone at the 1982 French Open.	False |
","| Kathinka Pasveer is a former professional tennis player. |
| She was born on May 24, 1959. |
| She was born in Amsterdam, Netherlands. |
| Her successful career was in the late 1970s and early 1980s. |
| Pasveer won two singles titles on the WTA Tour. |
| Pasveer won four doubles titles on the WTA Tour. |
| Pasveer was successful in singles competitions. |
| Pasveer was successful in doubles competitions. |
| Her highest singles ranking was No. |
| The achievement was being ranked 34th in the world. |
| The achievement was made in 1982. |
| She is involved in doubles. |
| She reached a peak ranking. |
| The peak ranking is at No. |
| The notable achievement occurred at the 1982 French Open. |
| Pasveer reached a significant milestone at the 1982 French Open. |
","[('born', 'Amsterdam, Netherlands')]"
335,Tell me a bio of Carl Braun (obstetrician)," 

Carl Braun was an Austrian obstetrician and gynecologist who made significant contributions to the field of obstetrics, particularly in the area of operative obstetrics. He is best known for developing the ""Braun's incision,"" also known as the ""Pfannenstiel incision,"" which is still widely used today in cesarean sections and other abdominal surgeries.

Born on December 10, 1852, in Vienna, Austria, Braun studied medicine at the University of Vienna and earned his medical degree in 1877. After completing his studies, he worked under the guidance of renowned obstetricians and g","| Carl Braun was Austrian.	True |
| Carl Braun was an obstetrician.	True |
| Carl Braun was a gynecologist.	True |
| Carl Braun made significant contributions to the field of obstetrics.	True |
| Carl Braun made significant contributions in the area of operative obstetrics.	True |
| He developed the ""Braun's incision.""	True |
| The ""Braun's incision"" is also known as the ""Pfannenstiel incision.""	True |
| The ""Pfannenstiel incision"" is widely used today.	False |
| The ""Pfannenstiel incision"" is used in cesarean sections.	True |
| The ""Pfannenstiel incision"" is used in other abdominal surgeries.	True |
| He was born on December 10, 1852.	False |
| He was born in Vienna, Austria.	False |
| Braun studied medicine.	True |
| Braun studied medicine at the University of Vienna.	True |
| Braun earned his medical degree.	True |
| Braun earned his medical degree in 1877.	False |
| He completed his studies.	True |
| He worked under the guidance of renowned obstetricians.	True |
","| The ""Pfannenstiel incision"" is widely used today. |
| He was born on December 10, 1852. |
| He was born in Vienna, Austria. |
| Braun earned his medical degree in 1877. |
","[('born', 'Vienna, Austria')]"
338,Tell me a bio of Pratibha Patil," 

Pratibha Devisingh Patil is an Indian politician who served as the 12th President of India from 2007 to 2012. She was the first woman to hold the office.

Early Life and Education:
Pratibha Patil was born on December 19, 1934, in Nadgaon, Bombay Presidency (now Maharashtra), British India. Her father, Narayan Rao Patil, was a farmer and a social worker. She completed her primary education at R.R. School in Jalgaon and later pursued her higher education at Mooljee Jetha College in Jalga","| Pratibha Devisingh Patil is an Indian politician.	True |
| Pratibha Devisingh Patil served as the 12th President of India.	True |
| Pratibha Devisingh Patil served as the 12th President of India from 2007 to 2012.	True |
| She was the first woman.	True |
| She held the office.	True |
| Early life.	True |
| Education.	True |
| Pratibha Patil was born on December 19, 1934.	True |
| Pratibha Patil was born in Nadgaon.	True |
| Nadgaon was part of the Bombay Presidency.	False |
| Bombay Presidency is now Maharashtra.	True |
| Pratibha Patil was born in British India.	False |
| Her father's name is Narayan Rao Patil.	True |
| Her father was a farmer.	True |
| Her father was a social worker.	True |
| She completed her primary education.	True |
| She completed her primary education at R.R.	True |
| She went to school in Jalgaon.	False |
| She pursued her higher education.	True |
| She pursued her higher education at Mooljee Jetha College.	True |
| Mooljee Jetha College is located in Jalga.	True |
","| Nadgaon was part of the Bombay Presidency. |
| Pratibha Patil was born in British India. |
| She went to school in Jalgaon. |
","[('born', 'British India')]"
339,Tell me a bio of Lodewicus du Plessis," 

Lodewicus du Plessis (1667-1741) was a Dutch Reformed Church minister and theologian. He is best known for his role in the Nadere Reformatie, a 17th-century movement within the Dutch Reformed Church that emphasized personal piety, moral reform, and a deeper understanding of Christian doctrine.

Du Plessis was born in Utrecht, Netherlands, and studied theology at the University of Utrecht. After completing his studies, he served as a minister in several churches in the Netherlands before becoming a professor of theology at the University of Franeker.

As a leading figure in the","| Lodewicus du Plessis was born in 1667 and died in 1741.	False |
| Lodewicus du Plessis was a Dutch Reformed Church minister.	False |
| Lodewicus du Plessis was a theologian.	False |
| He is best known for his role in the Nadere Reformatie.	False |
| The Nadere Reformatie is a 17th-century movement.	False |
| The Nadere Reformatie occurred within the Dutch Reformed Church.	False |
| The Nadere Reformatie movement emphasized personal piety.	False |
| The Nadere Reformatie movement emphasized moral reform.	False |
| The Nadere Reformatie movement emphasized a deeper understanding of Christian doctrine.	False |
| Du Plessis was born in Utrecht, Netherlands.	False |
| Du Plessis studied theology.	False |
| Du Plessis studied theology at the University of Utrecht.	False |
| He completed his studies.	True |
| He served as a minister.	False |
| He served as a minister in several churches.	False |
| He served as a minister in several churches in the Netherlands.	False |
| He became a professor.	True |
| He became a professor of theology.	False |
| He became a professor of theology at the University of Franeker.	False |
","| Lodewicus du Plessis was born in 1667 and died in 1741. |
| Lodewicus du Plessis was a Dutch Reformed Church minister. |
| Lodewicus du Plessis was a theologian. |
| He is best known for his role in the Nadere Reformatie. |
| The Nadere Reformatie is a 17th-century movement. |
| The Nadere Reformatie occurred within the Dutch Reformed Church. |
| The Nadere Reformatie movement emphasized personal piety. |
| The Nadere Reformatie movement emphasized moral reform. |
| The Nadere Reformatie movement emphasized a deeper understanding of Christian doctrine. |
| Du Plessis was born in Utrecht, Netherlands. |
| Du Plessis studied theology. |
| Du Plessis studied theology at the University of Utrecht. |
| He served as a minister. |
| He served as a minister in several churches. |
| He served as a minister in several churches in the Netherlands. |
| He became a professor of theology. |
| He became a professor of theology at the University of Franeker. |
","[('born', '1667 and died in 1741'), ('born', 'Utrecht, Netherlands')]"
342,Tell me a bio of Ameyaw Debrah," 

Ameyaw Debrah is a Ghanaian celebrity blogger, freelance journalist, and entrepreneur. He was born on July 26, 1981, in Accra, Ghana.

Debrah started his career as a blogger in 2007, focusing on entertainment news and gossip. His blog, ameyawdebrah.com, quickly gained popularity and became one of the most visited celebrity gossip blogs in Ghana.

In addition to blogging, Debrah has worked as a freelance journalist for several media outlets, including BBC Africa, Al Jazeera, and The Guardian. He has also appeared on various TV shows and radio programs,","| Ameyaw Debrah is Ghanaian.	True |
| Ameyaw Debrah is a celebrity blogger.	True |
| Ameyaw Debrah is a freelance journalist.	True |
| Ameyaw Debrah is an entrepreneur.	True |
| He was born on July 26, 1981.	True |
| He was born in Accra.	False |
| He was born in Ghana.	True |
| Debrah started his career.	True |
| Debrah started his career as a blogger.	True |
| Debrah started his career as a blogger in 2007.	True |
| Debrah's blog focused on entertainment news.	True |
| Debrah's blog focused on gossip.	False |
| He has a blog.	True |
| The blog is called ameyawdebrah.com.	True |
| The blog quickly gained popularity.	True |
| The blog became one of the most visited celebrity gossip blogs.	True |
| The blog is popular in Ghana.	True |
| Debrah blogs.	True |
| Debrah has worked as a freelance journalist.	True |
| Debrah has worked for BBC Africa.	False |
| Debrah has worked for Al Jazeera.	False |
| Debrah has worked for The Guardian.	False |
| He has appeared on TV shows.	True |
| He has appeared on various TV shows.	True |
| He has appeared on radio programs.	True |
","| He was born in Accra. |
| Debrah's blog focused on gossip. |
| Debrah has worked for BBC Africa. |
| Debrah has worked for Al Jazeera. |
| Debrah has worked for The Guardian. |
","[('born', 'Accra')]"
347,Tell me a bio of Charles Allen (jurist)," 

Charles Allen was an American jurist who served as the Chief Justice of the Massachusetts Supreme Judicial Court from 1947 to 1963. He was born on August 12, 1899, in Worcester, Massachusetts, and graduated from Harvard College in 1921 and Harvard Law School in 1924.

Allen began his legal career as a law clerk for Judge James Madison Morton Jr. on the Massachusetts Supreme Judicial Court. He then entered private practice in Worcester before being appointed as a special justice of the Worcester District Court in 1935. In 1943, he became an associate justice of the Massachusetts Superior Court.

In","| Charles Allen was an American.	True |
| Charles Allen was a jurist.	True |
| Charles Allen served as the Chief Justice.	False |
| Charles Allen served as the Chief Justice of the Massachusetts Supreme Judicial Court.	True |
| Charles Allen served as Chief Justice from 1947 to 1963.	False |
| He was born on August 12, 1899.	False |
| He was born in Worcester, Massachusetts.	False |
| He graduated from Harvard College in 1921.	False |
| He graduated from Harvard Law School in 1924.	False |
| Allen began his legal career.	True |
| Allen began his legal career as a law clerk.	False |
| Allen began his legal career as a law clerk for Judge James Madison Morton Jr.	False |
| Judge James Madison Morton Jr. is a judge.	False |
| Judge James Madison Morton Jr. served on the Massachusetts Supreme Judicial Court.	False |
| Allen worked as a law clerk for Judge James Madison Morton Jr. on the Massachusetts Supreme Judicial Court.	True |
| He entered private practice in Worcester.	False |
| He entered private practice in Worcester before being appointed as a special justice.	False |
| He was appointed as a special justice.	True |
| He was appointed as a special justice of the Worcester District Court.	True |
| He was appointed as a special justice of the Worcester District Court in 1935.	False |
| In 1943, he became an associate justice.	False |
| In 1943, he became an associate justice of the Massachusetts Superior Court.	False |
","| Charles Allen served as the Chief Justice. |
| Charles Allen served as Chief Justice from 1947 to 1963. |
| He was born on August 12, 1899. |
| He was born in Worcester, Massachusetts. |
| He graduated from Harvard College in 1921. |
| He graduated from Harvard Law School in 1924. |
| Allen began his legal career as a law clerk. |
| Allen began his legal career as a law clerk for Judge James Madison Morton Jr. |
| Judge James Madison Morton Jr. is a judge. |
| Judge James Madison Morton Jr. served on the Massachusetts Supreme Judicial Court. |
| He entered private practice in Worcester. |
| He entered private practice in Worcester before being appointed as a special justice. |
| He was appointed as a special justice of the Worcester District Court in 1935. |
| In 1943, he became an associate justice. |
| In 1943, he became an associate justice of the Massachusetts Superior Court. |
","[('born', 'Worcester, Massachusetts')]"
349,Tell me a bio of Ruth Fischer," 

Ruth Fischer (1895-1961) was an Austrian-German communist politician, writer, and feminist. Born in Leipzig, Germany, to a Jewish family, Fischer grew up in a middle-class environment. Her early life was marked by her involvement in the women's suffrage movement and her interest in socialism.

Fischer joined the German Communist Party (KPD) in 1919 and quickly rose through the ranks, becoming one of the party's leading figures. She was known for her charismatic speeches and her ability to mobilize workers. In 1924, she became the editor-in-chief of the KPD's newspaper","| Ruth Fischer was born in 1895.	True |
| Ruth Fischer died in 1961.	True |
| Ruth Fischer was Austrian.	True |
| Ruth Fischer was German.	False |
| Ruth Fischer was a communist politician.	True |
| Ruth Fischer was a writer.	True |
| Ruth Fischer was a feminist.	False |
| Fischer was born in Leipzig, Germany.	False |
| Fischer was born to a Jewish family.	True |
| Fischer grew up in a middle-class environment.	False |
| Her early life was marked by her involvement in the women's suffrage movement.	False |
| Her early life was marked by her interest in socialism.	True |
| Fischer joined the German Communist Party (KPD) in 1919.	True |
| Fischer quickly rose through the ranks.	True |
| Fischer became one of the party's leading figures.	True |
| She was known for her charismatic speeches.	True |
| She was known for her ability to mobilize workers.	True |
| In 1924, she became the editor-in-chief.	False |
| She became the editor-in-chief of the KPD's newspaper.	False |
","| Ruth Fischer was German. |
| Ruth Fischer was a feminist. |
| Fischer was born in Leipzig, Germany. |
| Fischer grew up in a middle-class environment. |
| Her early life was marked by her involvement in the women's suffrage movement. |
| In 1924, she became the editor-in-chief. |
| She became the editor-in-chief of the KPD's newspaper. |
","[('born', 'Leipzig, Germany')]"
350,Tell me a bio of Cris Cyborg," 

Cristiane Justino Venâncio, commonly known as Cris Cyborg, is a Brazilian-American mixed martial artist who competes in the women's featherweight division. She is currently signed to Bellator MMA and is the current Bellator Women's Featherweight World Champion.

Born on July 9, 1985, in Curitibanos, Santa Catarina, Brazil, Cyborg began training in Muay Thai at the age of 19 and later transitioned to Brazilian jiu-jitsu. She made her professional MMA debut in 2005 and quickly racked up an impressive record, winning her first ","| Cristiane Justino Venâncio is also known as Cris Cyborg.	True |
| Cristiane Justino Venâncio is Brazilian-American.	True |
| Cristiane Justino Venâncio is a mixed martial artist.	True |
| Cristiane Justino Venâncio competes in the women's featherweight division.	True |
| She is signed to Bellator MMA.	True |
| She is the current Bellator Women's Featherweight World Champion.	True |
| Cyborg was born on July 9, 1985.	True |
| Cyborg was born in Curitibanos, Santa Catarina, Brazil.	False |
| Cyborg began training in Muay Thai.	True |
| Cyborg began training in Muay Thai at the age of 19.	True |
| Cyborg later transitioned to Brazilian jiu-jitsu.	True |
| She made her professional MMA debut in 2005.	True |
| She quickly racked up an impressive record.	True |
| She won her first fight.	False |
","| Cyborg was born in Curitibanos, Santa Catarina, Brazil. |
| She won her first fight. |
","[('born', 'Curitibanos, Santa Catarina, Brazil')]"
351,Tell me a bio of Joe McGinniss," 

Joe McGinniss was an American author and journalist, known for his in-depth, often provocative, and sometimes controversial books on politics, crime, and celebrity culture. He was born on December 9, 1942, in Worcester, Massachusetts.

McGinniss gained national attention with his first book, ""The Selling of the President 1968"" (1969), which examined the media's role in Richard Nixon's presidential campaign. The book was a bestseller and established McGinniss as a prominent journalist.

In the 1970s and 1980s, McGinniss wrote several books that delved into","| Joe McGinniss was an American.	True |
| Joe McGinniss was an author.	True |
| Joe McGinniss was a journalist.	True |
| Joe McGinniss was known for his in-depth books.	True |
| Joe McGinniss was known for his provocative books.	True |
| Joe McGinniss was known for his controversial books.	True |
| Joe McGinniss wrote books on politics.	True |
| Joe McGinniss wrote books on crime.	True |
| Joe McGinniss wrote books on celebrity culture.	True |
| He was born on December 9, 1942.	True |
| He was born in Worcester, Massachusetts.	False |
| McGinniss gained national attention.	True |
| McGinniss gained national attention with his first book.	True |
| McGinniss's first book is ""The Selling of the President 1968.""	True |
| ""The Selling of the President 1968"" was published in 1969.	True |
| ""The Selling of the President 1968"" examined the media's role in Richard Nixon's presidential campaign.	True |
| The book was a bestseller.	False |
| The book established McGinniss as a prominent journalist.	True |
| In the 1970s, McGinniss wrote books.	True |
| In the 1980s, McGinniss wrote books.	True |
| McGinniss' books delved into various topics.	True |
","| He was born in Worcester, Massachusetts. |
| The book was a bestseller. |
","[('born', 'Worcester, Massachusetts')]"
357,Tell me a bio of Maxime Masson," 

Maxime Masson is a French professional footballer who plays as a midfielder for Ligue 2 club Pau FC. Born on June 11, 1992, in Toulouse, France, Masson began his youth career at Toulouse FC before moving to Rodez AF in 2011.

Masson made his professional debut with Rodez AF in the Championnat National (third tier of French football) during the 2012-13 season. He played a crucial role in helping the team achieve promotion to Ligue 2 in 2017.

In July 2019, Masson signed with P","| Maxime Masson is a person.	True |
| Maxime Masson is French.	False |
| Maxime Masson is a professional footballer.	False |
| Maxime Masson plays as a midfielder.	False |
| Maxime Masson plays for Ligue 2 club Pau FC.	False |
| He was born on June 11, 1992.	False |
| He was born in Toulouse, France.	False |
| He began his youth career at Toulouse FC.	False |
| He moved to Rodez AF in 2011.	False |
| Masson made his professional debut.	False |
| Masson made his professional debut with Rodez AF.	False |
| Rodez AF is a football club.	False |
| The Championnat National is the third tier of French football.	False |
| The 2012-13 season is when Masson made his professional debut with Rodez AF in the Championnat National.	False |
| He played a crucial role.	True |
| He played a crucial role in helping the team.	False |
| The team achieved promotion to Ligue 2017.	False |
| The team achieved promotion to Ligue 2 in 2017.	False |
| It happened in July 2019.	False |
| Masson signed with P.	False |
","| Maxime Masson is French. |
| Maxime Masson is a professional footballer. |
| Maxime Masson plays as a midfielder. |
| Maxime Masson plays for Ligue 2 club Pau FC. |
| He was born on June 11, 1992. |
| He was born in Toulouse, France. |
| He began his youth career at Toulouse FC. |
| He moved to Rodez AF in 2011. |
| Masson made his professional debut. |
| Masson made his professional debut with Rodez AF. |
| Rodez AF is a football club. |
| The Championnat National is the third tier of French football. |
| The 2012-13 season is when Masson made his professional debut with Rodez AF in the Championnat National. |
| He played a crucial role in helping the team. |
| The team achieved promotion to Ligue 2017. |
| The team achieved promotion to Ligue 2 in 2017. |
| It happened in July 2019. |
| Masson signed with P. |
","[('born', 'Toulouse, France')]"
360,Tell me a bio of Imbolo Mbue," 

Imbolo Mbue is a Cameroonian-American novelist and short story writer. She was born in 1982 in Limbe, Cameroon, and moved to the United States with her family at the age of six. Mbue grew up in New York City and graduated from Rutgers University-Newark with a degree in economics.

After college, Mbue worked for several years as a marketing executive before deciding to pursue a career in writing. She earned an MFA in creative writing from Columbia University, where she was a Rabinowitz Fellow.

Mbue's debut novel, ""Behold the Dreamers,"" was published in 201","| Imbolo Mbue is a novelist.	True |
| Imbolo Mbue is a short story writer.	False |
| Imbolo Mbue is Cameroonian-American.	True |
| She was born in 1982.	False |
| She was born in Limbe, Cameroon.	True |
| She moved to the United States.	True |
| She moved to the United States with her family.	True |
| She moved to the United States at the age of six.	False |
| Mbue grew up in New York City.	False |
| Mbue graduated from Rutgers University-Newark.	True |
| Mbue graduated from Rutgers University-Newark with a degree in economics.	False |
| Mbue worked as a marketing executive.	False |
| Mbue worked for several years as a marketing executive.	True |
| Mbue worked for several years as a marketing executive after college.	True |
| After college, Mbue worked as a marketing executive.	False |
| Mbue decided to pursue a career in writing.	True |
| Mbue decided to pursue a career in writing after working as a marketing executive.	True |
| She earned an MFA in creative writing.	False |
| She earned the MFA from Columbia University.	False |
| Columbia University is where she earned the MFA.	False |
| She was a Rabinowitz Fellow during her time at Columbia University.	True |
| Mbue is an author.	True |
| Mbue's debut novel is titled ""Behold the Dreamers.""	True |
| ""Behold the Dreamers"" was published.	True |
| ""Behold the Dreamers"" was published in 2016.	True |
","| Imbolo Mbue is a short story writer. |
| She was born in 1982. |
| She moved to the United States at the age of six. |
| Mbue grew up in New York City. |
| Mbue graduated from Rutgers University-Newark with a degree in economics. |
| Mbue worked as a marketing executive. |
| After college, Mbue worked as a marketing executive. |
| She earned an MFA in creative writing. |
| She earned the MFA from Columbia University. |
| Columbia University is where she earned the MFA. |
","[('born', '1982')]"
361,Tell me a bio of Aert van der Neer," 

Aert van der Neer (c. 1603-1677) was a Dutch painter who specialized in landscapes and winter scenes. He is considered one of the most important landscape painters of the Dutch Golden Age.

Van der Neer was born in Amsterdam, Netherlands, around 1603. Little is known about his early life or training as an artist. However, it is believed that he may have been influenced by the works of Hendrick Goltzius and Esaias van de Velde, two prominent Dutch landscape painters of the time.

Van der Neer's paintings are characterized by their serene and tranquil atmosphere,","| Aert van der Neer was born around 1603.	True |
| Aert van der Neer died in 1677.	True |
| Aert van der Neer was a Dutch painter.	True |
| Aert van der Neer specialized in landscapes.	True |
| Aert van der Neer specialized in winter scenes.	True |
| He is considered important.	True |
| He is considered one of the most important landscape painters.	True |
| He is considered one of the most important landscape painters of the Dutch Golden Age.	True |
| Van der Neer was born in Amsterdam.	False |
| Van der Neer was born in the Netherlands.	True |
| Van der Neer was born around 1603.	True |
| Little is known about his early life.	True |
| Little is known about his training as an artist.	True |
| He may have been influenced by the works of Hendrick Goltzius.	False |
| He may have been influenced by the works of Esaias van de Velde.	False |
| Hendrick Goltzius was a prominent Dutch landscape painter.	False |
| Esaias van de Velde was a prominent Dutch landscape painter.	False |
| Hendrick Goltzius and Esaias van de Velde were prominent Dutch landscape painters of the time.	False |
| Van der Neer is a painter.	True |
| Van der Neer's paintings have a serene atmosphere.	True |
| Van der Neer's paintings have a tranquil atmosphere.	True |
","| Van der Neer was born in Amsterdam. |
| He may have been influenced by the works of Hendrick Goltzius. |
| He may have been influenced by the works of Esaias van de Velde. |
| Hendrick Goltzius was a prominent Dutch landscape painter. |
| Esaias van de Velde was a prominent Dutch landscape painter. |
| Hendrick Goltzius and Esaias van de Velde were prominent Dutch landscape painters of the time. |
","[('born', 'Amsterdam')]"
365,Tell me a bio of Deitrick Haddon," 

Deitrick Haddon is an American gospel singer, songwriter, and pastor. He was born on May 17, 1973, in Detroit, Michigan.

Haddon began his music career as the leader of the gospel group Commissioned, which he founded with his brother, Gerald Haddon. The group released several successful albums throughout the 1990s and early 2000s.

In 2002, Haddon left Commissioned to pursue a solo music career. His debut album, ""Lost and Found,"" was released in 2002 and featured the hit single ""He's Able."" The album was a commercial success","| Deitrick Haddon is an American.	True |
| Deitrick Haddon is a gospel singer.	True |
| Deitrick Haddon is a songwriter.	True |
| Deitrick Haddon is a pastor.	True |
| He was born on May 17, 1973.	True |
| He was born in Detroit, Michigan.	False |
| Haddon began his music career.	True |
| Haddon began his music career as the leader of Commissioned.	False |
| Haddon founded Commissioned.	False |
| Gerald Haddon is his brother.	True |
| Haddon founded Commissioned with his brother Gerald Haddon.	False |
| The group released albums.	True |
| The albums were successful.	True |
| The albums were released throughout the 1990s.	False |
| The albums were released throughout the early 2000s.	True |
| In 2002, Haddon left Commissioned.	False |
| Haddon left Commissioned to pursue a solo music career.	True |
| His debut album is ""Lost and Found.""	True |
| The album ""Lost and Found"" was released in 2002.	True |
| The album ""Lost and Found"" featured the hit single ""He's Able."".	False |
| The album was released.	True |
| The album was successful.	True |
| The album was a commercial success.	True |
","| He was born in Detroit, Michigan. |
| Haddon began his music career as the leader of Commissioned. |
| Haddon founded Commissioned. |
| Haddon founded Commissioned with his brother Gerald Haddon. |
| The albums were released throughout the 1990s. |
| In 2002, Haddon left Commissioned. |
| The album ""Lost and Found"" featured the hit single ""He's Able."". |
","[('born', 'Detroit, Michigan')]"
